pl_name,ra,dec,sy_dist
TOI-1288 b,313.1670294,65.6087833,114.865
HAT-P-2 b,245.1514324,41.0479601,127.774
TOI-5238 b,223.3588909,68.859472,290.646
HAT-P-53 b,21.8711012,38.9681137,666.802
TOI-1408 b,313.5110469,72.5806455,139.484
NGTS-3 A b,94.4447595,-35.706364,743.972
HAT-P-2 b,245.1514324,41.0479601,127.774
TOI-4860 b,183.563961,-13.1748411,80.1423
TOI-3785 b,130.9002258,63.0780768,79.7634
HD 149026 b,247.6229827,38.3475349,75.8643
HAT-P-64 b,68.9743955,2.4312732,651.897
HAT-P-2 b,245.1514324,41.0479601,127.774
BD-14 3065 b,153.6696689,-15.6428372,589.423
HAT-P-2 b,245.1514324,41.0479601,127.774
NGTS-5 b,221.0582692,5.6053735,306.779
TOI-3071 b,173.2790517,-56.5033871,485.219
HD 17156 b,42.4366123,71.7530882,78.0863
HAT-P-2 b,245.1514324,41.0479601,127.774
NGTS-2 b,215.1227617,-31.2020698,356.391
HR 8799 b,346.8701486,21.1340376,41.2441
TOI-1669 b,45.9564744,83.5874273,111.276
HAT-P-64 b,68.9743955,2.4312732,651.897
TOI-2145 b,263.7580753,40.6950428,224.731
NGTS-12 b,176.2499418,-35.640563,446.442
TOI-1691 b,272.4041179,86.860343,111.445
TOI-3071 b,173.2790517,-56.5033871,485.219
TOI-1288 b,313.1670294,65.6087833,114.865
HR 8799 b,346.8701486,21.1340376,41.2441
11 Com b,185.1787793,17.7932516,93.1846
HD 159868 b,264.7466665,-43.1462347,55.8503
HATS-55 b,114.2833819,-32.7554188,609.838
TOI-1736 c,43.4344615,69.101345,88.9482
TOI-2796 b,84.1527191,0.8962788,350.343
HD 17156 b,42.4366123,71.7530882,78.0863
TOI-2818 b,119.0598183,-35.1167104,312.674
TOI-5301 b,12.9908008,13.0783712,629.161
TOI-3321 b,265.7603351,-65.0082516,285.895
NGTS-8 b,328.9759206,-14.0684399,428.976
TOI-2803 A b,93.1147397,-23.4924956,494.818
TOI-1859 b,279.8317644,69.5228726,224.385
HD 149026 b,247.6229827,38.3475349,75.8643
TOI-1669 c,45.9564744,83.5874273,111.276
TOI-5205 b,313.7706819,24.360977,86.4493
TOI-3976 A b,224.3560083,44.2743223,516.087
BD-14 3065 b,153.6696689,-15.6428372,589.423
TOI-4201 b,90.4747237,-13.461371,189.011
TOI-2977 b,143.9265177,-60.3574758,
TOI-1836 b,245.9079242,54.6900774,191.649
TOI-3629 b,359.7933851,39.3142556,130.091
HAT-P-2 b,245.1514324,41.0479601,127.774
TOI-2145 b,263.7580753,40.6950428,224.731
HAT-P-2 b,245.1514324,41.0479601,127.774
NGTS-10 b,91.8722801,-25.5948963,
TOI-1836 c,245.9079242,54.6900774,191.649
TOI-1669 c,45.9564744,83.5874273,111.276
TOI-3912 b,215.8014956,24.0765639,465.992
HAT-P-53 b,21.8711012,38.9681137,666.802
HD 149026 b,247.6229827,38.3475349,75.8643
NGTS-12 b,176.2499418,-35.640563,446.442
NGTS-2 b,215.1227617,-31.2020698,356.391
HR 8799 b,346.8701486,21.1340376,41.2441
HR 8799 b,346.8701486,21.1340376,41.2441
XO-6 b,94.7929552,73.8275672,235.479
TOI-4791 b,109.3883818,-19.8289392,328.802
HAT-P-2 b,245.1514324,41.0479601,127.774
TrES-5 b,305.2219454,59.4489033,360.313
TOI-1408 b,313.5110469,72.5806455,139.484
TOI-1736 b,43.4344615,69.101345,88.9482
NGTS-30 b,173.714867,-24.6054801,238.377
TOI-3693 b,15.6543938,51.3038918,176.436
NGTS-2 b,215.1227617,-31.2020698,356.391
TOI-5616 b,184.9016378,48.6832895,390.415
TOI-5232 b,294.3374248,35.2764934,609.388
TOI-1836 b,245.9079242,54.6900774,191.649
HAT-P-2 b,245.1514324,41.0479601,127.774
TOI-3629 b,359.7933851,39.3142556,130.091
NGTS-21 b,311.2583112,-35.4278412,592.891
TOI-2141 b,258.7623456,18.3403449,77.682
HAT-P-53 b,21.8711012,38.9681137,666.802
NGTS-12 b,176.2499418,-35.640563,446.442
NGTS-2 b,215.1227617,-31.2020698,356.391
TOI-5301 b,12.9908008,13.0783712,629.161
TrES-5 b,305.2219454,59.4489033,360.313
HD 149026 b,247.6229827,38.3475349,75.8643
TOI-1408 c,313.5110469,72.5806455,139.484
TOI-1736 b,43.4344615,69.101345,88.9482
TOI-5344 b,63.2662165,20.9151568,138.367
XO-6 b,94.7929552,73.8275672,235.479
TOI-5205 b,313.7706819,24.360977,86.4493
TOI-4087 b,217.9257785,83.3727061,301.676
TOI-3807 b,139.1125648,69.0741284,421.745
TOI-2842 b,108.0442066,-10.63934,460.995
HD 17156 b,42.4366123,71.7530882,78.0863
HD 149026 b,247.6229827,38.3475349,75.8643
NGTS-9 b,141.9206435,-19.3476477,609.128
TOI-3919 b,208.9447534,40.3918061,604.591
HAT-P-2 b,245.1514324,41.0479601,127.774
TOI-1736 b,43.4344615,69.101345,88.9482
TOI-1516 b,340.0846204,69.5037313,247.054
TOI-1859 b,279.8317644,69.5228726,224.385
XO-6 b,94.7929552,73.8275672,235.479
NGTS-4 b,89.5988945,-30.8117992,280.555
NGTS-9 b,141.9206435,-19.3476477,609.128
TOI-1288 b,313.1670294,65.6087833,114.865
HD 17156 b,42.4366123,71.7530882,78.0863
NGTS-16 b,58.2639299,-30.8046405,898.168
TOI-4145 A b,39.4297435,80.2673838,205.387
NGTS-14 A b,328.5174799,-38.3774193,322.148
NGTS-23 b,70.4322947,-40.0445299,1074.95
HD 17156 b,42.4366123,71.7530882,78.0863
HD 23472 d,55.4590314,-62.7672667,39.0341
HAT-P-53 b,21.8711012,38.9681137,666.802
NGTS-13 b,176.2402326,-38.1397158,647.595
TOI-3082 b,195.9080719,-19.2189845,113.048
HAT-P-2 b,245.1514324,41.0479601,127.774
NGTS-13 b,176.2402326,-38.1397158,647.595
TOI-1408 b,313.5110469,72.5806455,139.484
TOI-2096 b,151.6186989,74.8272107,48.4809
Qatar-9 b,160.748095,60.9641194,213.771
TOI-3894 b,201.3748265,52.7681036,417.365
HD 149026 b,247.6229827,38.3475349,75.8643
NGTS-18 b,180.5462193,-35.5486091,1096.19
HD 17156 b,42.4366123,71.7530882,78.0863
HD 149026 b,247.6229827,38.3475349,75.8643
TrES-5 b,305.2219454,59.4489033,360.313
HAT-P-2 b,245.1514324,41.0479601,127.774
HD 23472 e,55.4590314,-62.7672667,39.0341
TOI-2587 A b,115.9317105,-1.073333,373.675
TOI-4463 A b,279.3581286,18.7299522,173.117
HD 23472 b,55.4590314,-62.7672667,39.0341
GJ 143 b,51.7501882,-63.500166,16.32
TOI-5803 b,327.2487497,6.2781777,84.0126
HD 213885 c,338.9837166,-59.864829,48.0883
TOI-1853 b,211.4593468,16.9923703,165.105
TOI-4860 b,183.563961,-13.1748411,80.1423
HAT-P-53 b,21.8711012,38.9681137,666.802
TOI-5616 b,184.9016378,48.6832895,390.415
Qatar-9 b,160.748095,60.9641194,213.771
TOI-2000 c,146.3970631,-66.6866307,175.713
Qatar-9 b,160.748095,60.9641194,213.771
